tabela_origem,tabela_canonica,coluna_origem,coluna_canonica,acao,justificativa
fato_internacao,fato_internacao,municipio_cod6,cd_municipio_ibge_6,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,municipio_res_cod6,cd_municipio_residencia_ibge_6,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,regiao_saude,cd_regiao_saude,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,regiao_saude_nome,nm_regiao_saude,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,macrorregiao_saude_codigo,cd_macrorregiao_saude,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,macrorregiao_saude_nome,nm_macrorregiao_saude,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,origem_regiao,ds_origem_regiao,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_regiao_conflitante,fl_regiao_conflitante,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_regiao_nao_confiavel,fl_regiao_nao_confiavel,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,_ano,nr_ano_competencia,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,_mes,nr_mes_competencia,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,dt_internacao,dt_internacao,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,dt_saida,dt_saida,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_cruza_mes,fl_cruza_mes,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_competencia_diverge_saida,fl_competencia_diverge_saida,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,ESPEC,cd_especialidade_sih,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,especialidade,nm_especialidade,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,cid_principal,cd_cid_principal,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,cid_descricao,ds_cid,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,categoria_descricao,ds_categoria_cid,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,capitulo,cd_capitulo_cid,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,capitulo_desc,ds_capitulo_cid,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fonte_descricao,ds_fonte_descricao,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,QT_DIARIAS,qt_diaria_faturada,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,DIAS_PERM,qt_dia_permanencia,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,MORTE,,removida,Substituída por fl_obito e fl_obito_internacao_nova; o valor original permanece na Bronze.
fato_internacao,fato_internacao,VAL_TOT,vl_total_aprovado_sus,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,UTI_MES_TO,qt_diaria_uti_faturada,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,MARCA_UTI,cd_tipo_uti,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,marca_uti_descricao,ds_tipo_uti,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,IDADE,nr_idade_informada,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,COD_IDADE,cd_unidade_idade,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,unidade_idade,ds_unidade_idade,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,idade_anos_aprox,nr_idade_ano_aproximada,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,SEXO,cd_sexo,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,sexo_descricao,ds_sexo,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,CAR_INT,cd_carater_internacao,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,carater_internacao,ds_carater_internacao,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,COMPLEX,cd_complexidade,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,complexidade,ds_complexidade,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_aih_aprovada,fl_aih_aprovada,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_internacao_nova,fl_internacao_nova,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_continuacao_longa_permanencia,fl_continuacao_longa_permanencia,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,dias_perm_internacao_nova,qt_dia_permanencia_internacao_nova,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,qt_diarias_internacao_nova,qt_diaria_faturada_internacao_nova,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,valor_internacao_nova,vl_aprovado_internacao_nova,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,valor_continuacao,vl_aprovado_continuacao,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_sem_diaria_faturada,fl_sem_diaria_faturada,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_permanencia_zero,fl_permanencia_zero,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_sem_valor,fl_sem_valor,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_obito,fl_obito,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_obito_internacao_nova,fl_obito_internacao_nova,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_aih_com_valor,fl_aih_com_valor,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,fl_uti,fl_uti,mantida,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,_arquivo_fonte,nm_arquivo_origem,renomeada,Padronização snake_case e prefixo semântico.
fato_leitos_mensal,fato_leito_mensal,CNES,cd_cnes,renomeada,Padronização snake_case e prefixo semântico.
fato_leitos_mensal,fato_leito_mensal,_ano,nr_ano_competencia,renomeada,Padronização snake_case e prefixo semântico.
fato_leitos_mensal,fato_leito_mensal,_mes,nr_mes_competencia,renomeada,Padronização snake_case e prefixo semântico.
fato_leitos_mensal,fato_leito_mensal,leitos_sus,qt_leito_sus,renomeada,Padronização snake_case e prefixo semântico.
fato_leitos_mensal,fato_leito_mensal,leitos_totais,qt_leito_total,renomeada,Padronização snake_case e prefixo semântico.
fato_leitos_mensal,fato_leito_mensal,tipos_de_leito,qt_tipo_leito,renomeada,Padronização snake_case e prefixo semântico.
fato_leitos_mensal,fato_leito_mensal,dias_no_mes,qt_dia_mes,renomeada,Padronização snake_case e prefixo semântico.
fato_leitos_mensal,fato_leito_mensal,capacidade_teorica_leito_dia,qt_capacidade_teorica_leito_dia,renomeada,Padronização snake_case e prefixo semântico.
